bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,12,8588344,0.0,0
0,10,0,24,8588344,0.0,0
0,10,1,2,8588344,0.0,2
0,10,2,0,8588344,30.04,3
0,10,3,4,8588858,39.05,6
0,10,4,12,8588858,39.93,5
0,10,5,14,8589158,53.24,3
0,10,6,16,8589141,57.14,0
0,20,0,26,8588344,0.0,0
0,20,1,4,8588344,0.0,2
0,20,2,17,8589158,41.72,0
0,20,3,8,8588344,53.28,1
0,20,4,11,8588858,63.63,4
0,20,5,21,8588858,63.67,3
0,20,6,24,8589141,77.83,0
0,30,0,40,8588344,30.0,3
0,30,1,9,8588344,30.0,5
0,30,2,29,8589158,41.72,3
0,30,3,15,8588344,53.28,4
0,30,4,35,8588858,63.63,3
0,30,5,18,8588858,63.67,6
0,30,6,38,8589141,77.83,3
0,40,0,46,8588344,30.0,0
0,40,1,7,8588344,30.0,2
0,40,2,30,8589158,41.85,0
0,40,3,21,8588344,53.34,1
0,40,4,44,8588858,63.74,0
0,40,5,22,8588858,63.78,3
0,40,6,45,8589141,78.27,0
0,50,0,56,8589158,16.55,0
0,50,1,26,8588344,28.0,1
0,50,2,27,8588858,38.41,4
0,50,3,54,8588858,38.44,3
0,50,4,55,8589141,52.93,0
0,50,5,8,8587356,55.89,1
0,50,6,9,8588344,75.97,3
0,50,7,36,8592378,82.27,2
0,50,8,37,8589154,97.16,0
0,60,0,60,8587356,20.0,0
0,60,1,7,8587356,20.0,1
0,60,2,37,8592378,78.22,0
0,60,3,24,8588344,84.59,2
0,60,4,54,8589154,95.52,0
1,0,0,13,8577785,0.0,0
1,10,0,25,8577785,0.0,0
1,20,0,27,8577785,0.0,0
1,20,1,1,8592377,1.45,1
1,20,2,2,8589161,41.09,2
1,20,3,14,8577820,45.34,1
1,20,4,15,8589130,53.63,0
1,30,0,41,8592377,0.0,0
1,30,1,10,8592377,0.0,1
1,30,2,13,8589161,41.05,2
1,30,3,8,8589161,41.09,4
1,30,4,28,8588351,43.8,2
1,30,5,30,8577820,45.34,1
1,30,6,0,8589131,51.7,2
1,30,7,33,8589130,54.91,1
1,30,8,20,8577785,61.27,0
1,40,0,47,8592377,33.0,0
1,40,1,8,8592377,33.0,1
1,40,2,20,8589161,40.98,2
1,40,3,19,8589161,41.02,4
1,40,4,42,8588351,43.75,2
1,40,5,31,8577820,45.34,1
1,40,6,12,8589131,54.49,2
1,40,7,43,8589130,57.66,1
1,40,8,35,8577785,63.96,0
1,40,9,0,8577785,64.0,2
1,40,10,23,8588858,78.7,0
1,50,0,57,8577820,0.0,0
1,50,1,11,8577820,0.0,1
1,50,2,23,8589131,37.84,2
1,50,3,39,8589130,48.17,1
1,50,4,51,8577785,54.47,0
1,50,5,4,8592375,60.0,3
1,50,6,16,8577785,62.99,5
1,50,7,32,8589161,70.17,2
1,50,8,44,8588858,76.49,0
1,50,9,3,8588858,76.53,1
1,50,10,31,8589155,77.73,0
1,50,11,6,8592374,79.17,3
1,50,12,34,8589130,103.67,0
1,60,0,61,8592375,15.0,0
1,60,1,8,8592375,15.0,3
1,60,2,38,8589161,66.55,0
1,60,3,26,8577785,74.37,2
1,60,4,56,8588858,82.13,0
1,60,5,20,8588858,82.17,1
1,60,6,50,8589155,83.44,0
1,60,7,22,8592374,84.95,3
1,60,8,52,8589130,98.82,0
2,0,0,14,8588351,0.0,5
2,0,1,2,8587255,4.0,6
2,0,2,8,8577820,24.64,5
2,10,0,26,8587255,0.0,0
2,10,1,7,8587255,0.0,1
2,10,2,19,8577820,11.64,0
2,20,0,28,8577820,1417.04,0
2,30,0,42,8577820,0.0,0
2,30,1,1,8589152,40.0,1
2,30,2,5,8589152,45.0,2
2,30,3,4,8589147,47.71,4
2,30,4,24,8588351,59.01,2
2,30,5,25,8592378,63.62,1
2,30,6,21,8592377,64.63,0
2,40,0,48,8589152,48.51,0
2,40,1,9,8589152,48.51,1
2,40,2,16,8589152,48.51,2
2,40,3,15,8589147,59.13,4
2,40,4,5,8589158,60.0,6
2,40,5,38,8588351,69.61,4
2,40,6,39,8592378,74.24,3
2,40,7,32,8592377,75.25,2
2,40,8,28,8589155,83.94,0
2,50,0,58,8589152,3.55,0
2,50,1,12,8589152,3.55,1
2,50,2,13,8589152,48.55,2
2,50,3,25,8589147,51.1,4
2,50,4,21,8589158,60.0,6
2,50,5,53,8588351,69.61,4
2,50,6,41,8592378,74.24,3
2,50,7,2,8592377,75.25,5
2,50,8,40,8592377,75.29,4
2,50,9,49,8589155,83.97,2
2,50,10,30,8589154,85.99,0
2,60,0,62,8589158,4.31,0
2,60,1,9,8589158,4.31,1
2,60,2,10,8589158,49.31,2
2,60,3,11,8589158,50.55,4
2,60,4,12,8589158,60.0,6
2,60,5,42,8588351,69.65,4
2,60,6,39,8592377,76.27,3
2,60,7,19,8592377,76.3,5
2,60,8,40,8592378,78.29,4
2,60,9,41,8589155,86.2,2
2,60,10,49,8589154,88.21,0
2,60,11,4,8577741,89.58,5
2,60,12,34,8589131,99.92,0
3,0,0,15,8589141,0.0,6
3,0,1,5,8589152,1.0,7
3,0,2,4,8589138,2.26,8
3,0,3,10,8587356,9.83,7
3,0,4,11,8587255,16.44,6
3,10,0,27,8587356,0.0,7
3,10,1,8,8587356,0.0,8
3,10,2,20,8587255,14.14,7
3,20,0,29,8587255,1520.04,0
3,30,0,43,8587255,0.0,0
3,30,1,3,8577786,41.0,4
3,30,2,23,8577741,49.04,0
3,30,3,2,8587238,59.05,4
3,30,4,22,8589141,70.22,0
3,40,0,49,8587255,0.0,3
3,40,1,14,8577786,9.7,7
3,40,2,37,8577741,49.32,3
3,40,3,13,8587238,59.42,7
3,40,4,6,8591767,73.0,8
3,40,5,29,8589152,75.19,7
3,40,6,36,8589141,81.8,3
3,50,0,59,8577741,0.0,0
3,50,1,24,8587238,10.07,4
3,50,2,0,8504622,57.04,5
3,50,3,22,8591767,66.56,6
3,50,4,28,8589147,67.23,5
3,50,5,1,8504622,68.09,7
3,50,6,50,8589152,69.61,6
3,50,7,52,8589141,70.38,2
3,50,8,29,8589141,70.43,0
3,60,0,63,8504622,18.0,0
3,60,1,13,8504622,18.0,1
3,60,2,14,8504622,63.0,5
3,60,3,43,8589147,63.9,4
3,60,4,29,8591767,64.52,5
3,60,5,59,8589152,66.68,4
3,60,6,44,8589141,67.35,0
3,60,7,18,8504622,69.61,2
3,60,8,48,8589141,71.96,0
3,60,9,0,8589141,72.0,4
3,60,10,30,8577820,83.11,0
4,0,0,16,8588858,0.0,0
4,0,1,3,8589154,8.0,2
4,0,2,0,8589154,8.04,5
4,0,3,1,8588858,8.97,8
4,0,4,7,8592377,16.44,5
4,0,5,6,8577786,19.6,2
4,0,6,9,8587238,23.61,0
4,10,0,28,8588858,0.0,0
4,10,1,9,8588858,0.0,3
4,10,2,10,8588858,10.92,6
4,10,3,11,8588858,10.92,8
4,10,4,22,8592377,19.96,5
4,10,5,5,8592377,20.0,7
4,10,6,21,8577786,23.16,4
4,10,7,23,8587238,27.17,2
4,10,8,6,8589161,33.29,8
4,10,9,17,8592374,35.94,6
4,10,10,18,8592374,35.97,0
4,20,0,30,8592377,0.0,0
4,20,1,5,8592377,0.0,2
4,20,2,6,8592377,20.0,5
4,20,3,7,8592377,20.0,7
4,20,4,19,8577786,23.17,4
4,20,5,20,8587238,27.21,2
4,20,6,12,8589161,33.46,8
4,20,7,18,8592374,37.14,6
4,20,8,25,8592374,38.16,0
4,30,0,44,8587238,20.0,0
4,30,1,11,8587238,20.0,2
4,30,2,19,8589161,28.51,8
4,30,3,31,8592374,30.88,6
4,30,4,39,8592374,30.92,0
4,30,5,7,8591766,43.0,2
4,30,6,6,8587356,44.66,3
4,30,7,27,8589155,57.24,1
