req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins,travel_time_mins,total_system_time
35,abandoned,8592377,8589154,38,,,,1,,,
36,abandoned,8588858,8589155,35,,,,5,,,
37,abandoned,8592375,8589161,30,,,,4,,,
38,abandoned,8588858,8592375,30,,,,1,,,
39,abandoned,8592374,8589130,46,,,,2,,,
40,completed,8592377,8591767,43,43.0,54.48000000000002,0.0,2,0.0,11.480000000000018,11.480000000000018
41,abandoned,8587356,8592378,45,,,,1,,,
42,abandoned,8588344,8589154,47,,,,2,,,
43,in_transit,8577741,8592378,50,62.219999999998606,,1.0,2,12.219999999998606,,
44,completed,8589141,8577820,44,52.666666666666664,53.069999999999936,1.0,3,8.666666666666664,0.40333333333327204,9.069999999999936
45,completed,8577820,8588858,48,53.106666666666285,59.9633333333324,1.0,1,5.106666666666285,6.856666666666115,11.9633333333324
46,waiting,8589147,8592377,59,,,,2,,,
47,waiting,8589138,8592378,59,,,,1,,,
48,waiting,8577741,8589131,53,,,,3,,,
49,waiting,8577820,8589271,57,,,,2,,,
50,completed,8591767,8589161,50,54.516666666666666,59.13000000000011,0.0,3,4.516666666666666,4.613333333333443,9.13000000000011
51,waiting,8577785,8577786,52,,,,2,,,
52,waiting,8589154,8504622,60,,,,1,,,
53,completed,8589138,8589152,51,47.72999999999831,51.9,1.0,2,-3.270000000001687,4.170000000001686,0.8999999999999986
54,waiting,8577741,8589152,57,,,,1,,,
55,waiting,8589271,8592377,58,,,,1,,,
56,waiting,8577785,8587255,70,,,,1,,,
57,waiting,8587238,8577786,70,,,,1,,,
58,waiting,8592378,8589147,64,,,,4,,,
59,waiting,8589161,8589154,65,,,,2,,,
60,waiting,8577786,8588351,66,,,,1,,,
61,waiting,8504622,8589141,60,,,,4,,,
62,waiting,8587238,8592378,64,,,,5,,,
63,waiting,8589271,8589161,62,,,,2,,,
64,waiting,8589271,8577786,70,,,,1,,,
65,waiting,8588351,8592375,70,,,,1,,,
66,waiting,8589271,8589152,63,,,,1,,,
67,waiting,8577820,8589131,62,,,,1,,,
68,waiting,8589147,8589161,78,,,,2,,,
69,waiting,8587255,8589152,75,,,,3,,,
70,waiting,8589270,8587255,71,,,,2,,,
71,waiting,8589131,8592378,74,,,,1,,,
72,waiting,8588858,8591766,73,,,,2,,,
73,waiting,8592378,8587356,71,,,,4,,,
74,waiting,8591767,8587238,77,,,,1,,,
75,waiting,8592375,8591767,78,,,,2,,,
76,waiting,8589161,8577820,72,,,,1,,,
77,waiting,8589155,8589270,78,,,,4,,,
78,waiting,8504622,8592377,78,,,,5,,,
79,waiting,8577785,8589152,76,,,,2,,,
80,waiting,8588344,8589147,83,,,,3,,,
81,waiting,8589158,8588351,86,,,,2,,,
82,waiting,8589155,8589154,85,,,,5,,,
83,waiting,8589141,8592378,88,,,,5,,,
84,waiting,8589141,8577786,83,,,,5,,,
85,waiting,8588858,8591767,85,,,,1,,,
