req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,abandoned,8588858,8592377,3,,,,1,
2,completed,8587255,8577820,1,3.5700000000001086,8.926666666666392,1.0,3,2.5700000000001086
3,in_transit,8589154,8587238,8,25.38000000000008,,1.0,3,17.38000000000008
4,abandoned,8589138,8587356,6,,,,1,
5,abandoned,8589152,8587255,1,,,,2,
6,completed,8587255,8588858,8,16.306666666666644,24.443333333333413,1.0,1,8.306666666666644
7,completed,8577741,8587255,8,16.533333333333335,16.269999999999982,1.0,1,8.533333333333335
8,completed,8587255,8589158,10,14.926666666666137,17.779999999999973,0.0,2,4.9266666666661365
9,abandoned,8588858,8589147,6,,,,2,
10,completed,8587255,8589141,9,14.889999999999475,21.666666666666668,0.0,1,5.889999999999475
11,completed,8589161,8592374,0,4.15,6.536666666666264,1.0,1,4.15
12,completed,8589155,8592374,2,8.720000000000027,3.3,0.0,4,6.720000000000027
13,abandoned,8588858,8589138,5,,,,2,
14,completed,8589161,8577820,3,5.536666666666726,9.673333333333495,0.0,1,2.5366666666667257
15,abandoned,8589155,8589130,1,,,,3,
16,abandoned,8589138,8577741,1,,,,2,
17,abandoned,8592374,8577785,5,,,,6,
18,in_transit,8589152,8592377,20,22.403333333332867,,0.0,1,2.403333333332867
19,waiting,8587238,8589141,28,,,,2,
20,waiting,8577786,8577741,21,,,,2,
21,waiting,8589147,8588351,30,,,,1,
22,in_transit,8589152,8592378,25,22.629999999999594,,0.0,3,-2.370000000000406
23,waiting,8587356,8588344,21,,,,4,
24,waiting,8591766,8589155,23,,,,1,
25,waiting,8589161,8588351,31,,,,1,
26,waiting,8577785,8588858,31,,,,1,
27,waiting,8577741,8592377,37,,,,4,
28,waiting,8589154,8592375,35,,,,4,
29,waiting,8504622,8589131,35,,,,2,
30,waiting,8588344,8589155,34,,,,1,
31,waiting,8589158,8589155,40,,,,1,
32,waiting,8591767,8589152,40,,,,2,
33,waiting,8504622,8589147,33,,,,2,
34,waiting,8504622,8589141,36,,,,2,
35,waiting,8592377,8589154,38,,,,1,
36,waiting,8588858,8589155,35,,,,5,
37,waiting,8592375,8589161,30,,,,4,
38,waiting,8588858,8592375,30,,,,1,
39,waiting,8592374,8589130,46,,,,2,
40,waiting,8592377,8591767,43,,,,2,
41,waiting,8587356,8592378,45,,,,1,
42,waiting,8588344,8589154,47,,,,2,
43,waiting,8577741,8592378,50,,,,2,
44,waiting,8589141,8577820,44,,,,3,
45,waiting,8577820,8588858,48,,,,1,
